Seccion,Clave,Espanol (ES),English (EN),Deutsch (DE),Italiano (IT),Francais (FR),Svenska (SV),Estado (OK/Cambiar),Propuesta / Notas
SEO / Meta,meta.description,"Casa Trini Formentera — una casa rústica a 500 m del mar. Capacidad para 8 personas, con 4 dormitorios con baño, piscina de agua dulce de 16×6 m y jardín privado de 6.500 m².","Casa Trini Formentera — a rustic holiday home 500 m from the sea. Sleeps up to 8, with 4 en-suite bedrooms, a 16×6 m freshwater pool and a 6,500 m² private garden.","Casa Trini Formentera — ein rustikales Ferienhaus, 500 m vom Meer entfernt. Platz für bis zu 8 Gäste, 4 Schlafzimmer mit eigenem Bad, ein 16×6 m Süßwasserpool und ein 6.500 m² großer Privatgarten.","Casa Trini Formentera — una casa rustica a 500 m dal mare. Ospita fino a 8 persone, con 4 camere con bagno privato, una piscina di acqua dolce 16×6 m e un giardino privato di 6.500 m².","Casa Trini Formentera — une maison rustique à 500 m de la mer. Peut accueillir jusqu'à 8 personnes, avec 4 chambres avec salle de bain, une piscine d'eau douce de 16×6 m et un jardin privé de 6 500 m².","Casa Trini Formentera — ett rustikt semesterhus 500 m från havet. Plats för upp till 8 gäster, med 4 sovrum med eget badrum, en 16×6 m sötvattenpool och en 6 500 m² privat trädgård.",,
Navegacion,nav.home,Inicio,Home,Start,Home,Accueil,Hem,,
Navegacion,nav.about,La Casa,The House,Das Haus,La Casa,La Maison,Huset,,
Navegacion,nav.amenities,Servicios,Amenities,Ausstattung,Servizi,Équipements,Bekvämligheter,,
Navegacion,nav.location,Ubicación,Location,Lage,Posizione,Emplacement,Läge,,
Navegacion,nav.gallery,Fotos,Gallery,Galerie,Foto,Photos,Bilder,,
Navegacion,nav.reviews,Reseñas,Reviews,Bewertungen,Recensioni,Avis,Omdömen,,
Navegacion,nav.contact,Contacto,Contact,Kontakt,Contatti,Contact,Kontakt,,
Navegacion,nav.discover,Descubre Formentera,Discover Formentera,Formentera entdecken,Scopri Formentera,Découvrir Formentera,Upptäck Formentera,,
Portada (hero),hero.eyebrow,Formentera · Islas Baleares,Formentera · Balearic Islands,Formentera · Balearen,Formentera · Isole Baleari,Formentera · Îles Baléares,Formentera · Balearerna,,
Portada (hero),hero.title,Vive Formentera auténtica,Vive Formentera auténtica,Vive Formentera auténtica,Vive Formentera auténtica,Vive Formentera auténtica,Vive Formentera auténtica,,
Portada (hero),hero.sub,"Una casa rústica en la isla, a solo 500 metros del mar.","A rustic island home, just 500 metres from the sea.","Ein rustikales Inselhaus, nur 500 Meter vom Meer entfernt.","Una casa rustica sull'isola, a soli 500 metri dal mare.","Une maison rustique sur l'île, à seulement 500 mètres de la mer.","Ett rustikt öhus, bara 500 meter från havet.",,
Portada (hero),hero.ctaBook,Consultar disponibilidad,Check availability,Verfügbarkeit prüfen,Verifica disponibilità,Vérifier les disponibilités,Kolla tillgänglighet,,
Portada (hero),hero.ctaGallery,Ver la casa,View the house,Das Haus ansehen,Guarda la casa,Voir la maison,Se huset,,
La Casa,about.eyebrow,La Casa,The House,Das Haus,La Casa,La Maison,Huset,,
La Casa,about.title,Un refugio rústico para hasta ocho,A rustic retreat for up to eight,Ein rustikales Refugium für bis zu acht,Un rifugio rustico per un massimo di otto,Un refuge rustique pour huit personnes,En rustik tillflykt för upp till åtta,,
